,iter,score,optimization
522,9,-2.4156857,max
523,9,-0.17925346,max
524,9,-1.7659364,max
525,9,-1.1106932,max
526,9,-1.6590781,max
527,9,-2.568842,max
528,9,-2.7358165,max
529,9,-2.3746722,max
530,9,0.026300222,max
531,9,-1.1179452,max
532,9,-1.7311273,max
533,9,-2.1930969,max
534,9,0.21213675,max
535,9,-0.36298457,max
536,9,-2.9105546,max
537,9,-1.3427396,max
538,9,-1.027197,max
539,9,-1.981124,max
540,9,-0.63777,max
541,9,-1.8468354,max
542,9,-1.8451917,max
543,9,-1.7480549,max
544,9,-0.88775855,max
545,9,-0.9311183,max
546,9,-1.3966029,max
547,9,-2.0942316,max
548,9,-0.86601865,max
549,9,0.7024046,max
550,9,-2.8216517,max
551,9,0.7499229,max
552,9,-2.5233011,max
553,9,-2.7451677,max
554,9,0.56184965,max
555,9,-0.8648436,max
556,9,-1.6849315,max
557,9,0.22343409,max
558,9,-1.7070016,max
559,9,-1.305575,max
560,9,-1.4382606,max
561,9,-2.6227803,max
562,9,-0.13729599,max
563,9,-1.3251848,max
564,9,-1.8759085,max
565,9,-0.9842041,max
566,9,-1.5765069,max
567,9,-1.0461502,max
568,9,-0.4133274,max
569,9,0.1879999,max
570,9,-1.0630119,max
571,9,-1.6439357,max
572,9,-2.3780222,max
573,9,-1.8791075,max
574,9,-1.6054833,max
575,9,-1.3726542,max
576,10,-1.6476758,max
577,10,-1.8027549,max
578,10,-2.1441507,max
579,10,-1.686889,max
580,10,-1.0070692,max
581,10,-0.9706577,max
582,10,-2.7249017,max
583,10,-0.89920557,max
584,10,-1.1620367,max
585,10,-3.1422546,max
586,10,-2.355938,max
587,10,-0.15817963,max
588,10,-1.7951055,max
589,10,-1.099752,max
590,10,-1.622078,max
591,10,-2.5675228,max
592,10,-2.674531,max
593,10,-2.1727018,max
594,10,-0.041644633,max
595,10,-1.0449237,max
596,10,-1.822153,max
597,10,-2.0984044,max
598,10,0.24477166,max
599,10,-0.36358106,max
600,10,-2.8335853,max
601,10,-1.3013024,max
602,10,-0.99912,max
603,10,-1.950904,max
604,10,-0.6506663,max
605,10,-1.7931592,max
606,10,-2.3866513,max
607,10,-1.6897812,max
608,10,-0.8783216,max
609,10,-0.85111415,max
610,10,-1.3885444,max
611,10,-2.0825956,max
612,10,-0.85666513,max
613,10,0.76367164,max
614,10,-2.8327951,max
615,10,0.7500831,max
616,10,-2.5235345,max
617,10,-2.7249281,max
618,10,0.60321546,max
619,10,-0.7744373,max
620,10,-1.681206,max
621,10,0.09584126,max
622,10,-1.6328245,max
623,10,-1.3036714,max
624,10,-1.406862,max
625,10,-2.393843,max
626,10,-0.0982728,max
627,10,-1.3249762,max
628,10,-1.8405308,max
629,10,-0.9788207,max
630,10,-1.5172589,max
631,10,-1.0182446,max
632,10,-0.37384248,max
633,10,0.1420925,max
634,10,-0.97659594,max
635,10,-1.6188098,max
636,10,-2.5069916,max
637,10,-1.8733191,max
638,10,-1.5755149,max
639,10,-1.29919,max
640,11,-1.6202606,max
641,11,-1.7327882,max
642,11,-2.1480212,max
643,11,-1.6395018,max
644,11,-0.9426424,max
645,11,-1.0687151,max
646,11,-2.7249808,max
647,11,-0.9011617,max
648,11,-1.0563519,max
649,11,-3.2138844,max
650,11,-2.3473403,max
651,11,-0.22986771,max
652,11,-1.8077691,max
653,11,-1.0694017,max
654,11,-1.6590078,max
655,11,-2.539125,max
656,11,-2.6674213,max
657,11,-2.1460862,max
658,11,0.06576705,max
659,11,-1.0635848,max
660,11,-1.8190737,max
661,11,-2.5173163,max
